"date","product","price"
"2021-12","jean skinny","120"
"2021-12","colegio camisa","50"
"2021-12","corbata slim","25"
"2021-12","colegio camisa","50"
"2021-12","jean skinny","120"
"2021-12","corbata slim","25"
"2021-12","colegio camisa","50"
"2021-12","corbata slim","25"
"2021-12","blusa bombacha","100"
"2021-12","jean skinny","120"
"2021-12","corbata slim","25"
"2021-12","jean skinny","120"
"2021-12","blusa bombacha","100"
"2021-12","sudadera cremallera","150"
"2021-12","corbata slim","25"
"2021-12","colegio camisa","50"
"2021-12","jean skinny","120"
"2021-12","blusa bombacha","100"
"2021-12","jean skinny","120"
"2021-12","corbata slim","25"
"2021-12","jean skinny","120"
"2021-12","colegio camisa","50"
"2021-12","interior medias","15"
"2021-12","corbata slim","25"
"2021-12","jean skinny","120"
"2021-12","corbata slim","25"
"2021-12","chompa pullover","85"
"2021-12","blusa bombacha","100"
"2021-12","corbata slim","25"
"2021-12","corbata slim","25"
"2021-12","corbata slim","25"
"2021-12","jean skinny","120"
"2021-12","jean skinny","120"
"2021-12","colegio camisa","50"
"2021-12","sudadera cremallera","150"
"2021-12","jean skinny","120"
"2021-12","interior medias","15"
"2021-12","jean skinny","120"
"2021-12","corbata slim","25"
"2021-12","jean skinny","120"
"2021-12","corbata slim","25"
"2021-12","interior medias","15"
"2021-12","colegio camisa","50"
"2021-12","sudadera cremallera","150"
"2021-12","interior medias","15"
"2021-12","corbata slim","25"
"2021-12","jean skinny","120"
"2021-12","jean skinny","120"
"2021-12","jean skinny","120"
"2021-12","interior medias","15"
"2021-12","colegio camisa","50"
"2021-12","colegio camisa","50"
"2021-12","jean skinny","120"
"2021-12","jean skinny","120"
"2021-12","colegio camisa","50"
"2021-12","jean skinny","120"
"2021-12","colegio camisa","50"
"2021-12","colegio camisa","50"
"2021-12","chompa pullover","85"
"2021-12","blusa bombacha","100"
"2021-12","interior medias","15"
"2021-12","interior medias","15"
"2021-12","interior medias","15"
"2021-12","sudadera cremallera","150"
"2021-12","jean skinny","120"
"2021-12","corbata slim","25"
